îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§,
2021,4,25,0,2102,SURIGAE,6,21.8 ,136.2 ,996,0,0,0,0,0,0,0,0,
2021,4,25,6,2102,SURIGAE,6,22.3 ,138.2 ,992,0,0,0,0,0,0,0,0,
2021,4,25,12,2102,SURIGAE,6,23.9 ,141.0 ,992,0,0,0,0,0,0,0,0,
2021,4,25,18,2102,SURIGAE,6,25.7 ,144.9 ,990,0,0,0,0,0,0,0,0,
2021,4,26,0,2102,SURIGAE,6,28.9 ,149.4 ,988,0,0,0,0,0,0,0,0,
2021,4,26,6,2102,SURIGAE,6,33.5 ,153.5 ,982,0,0,0,0,0,0,0,0,
2021,4,26,12,2102,SURIGAE,6,37.1 ,156.5 ,970,0,0,0,0,0,0,0,0,
2021,4,26,18,2102,SURIGAE,6,40.1 ,157.7 ,950,0,0,0,0,0,0,0,0,
2021,4,27,0,2102,SURIGAE,6,42.5 ,159.3 ,944,0,0,0,0,0,0,0,0,
2021,4,27,6,2102,SURIGAE,6,44.0 ,161.1 ,948,0,0,0,0,0,0,0,0,
2021,4,27,12,2102,SURIGAE,6,45.8 ,162.3 ,952,0,0,0,0,0,0,0,0,
2021,4,27,18,2102,SURIGAE,6,46.0 ,164.1 ,956,0,0,0,0,0,0,0,0,
2021,4,28,0,2102,SURIGAE,6,46.4 ,165.8 ,964,0,0,0,0,0,0,0,0,
2021,4,28,6,2102,SURIGAE,6,46.8 ,167.2 ,968,0,0,0,0,0,0,0,0,
2021,4,28,12,2102,SURIGAE,6,47.2 ,168.7 ,972,0,0,0,0,0,0,0,0,
2021,4,28,18,2102,SURIGAE,6,47.5 ,169.1 ,976,0,0,0,0,0,0,0,0,
2021,4,29,0,2102,SURIGAE,6,47.4 ,169.9 ,980,0,0,0,0,0,0,0,0,
2021,4,29,6,2102,SURIGAE,6,47.3 ,170.4 ,984,0,0,0,0,0,0,0,0,
2021,4,29,12,2102,SURIGAE,6,47.2 ,171.1 ,988,0,0,0,0,0,0,0,0,
2021,4,29,18,2102,SURIGAE,6,46.7 ,172.2 ,990,0,0,0,0,0,0,0,0,
2021,4,30,0,2102,SURIGAE,6,46.2 ,173.5 ,992,0,0,0,0,0,0,0,0,
2021,4,30,6,2102,SURIGAE,6,45.2 ,176.3 ,994,0,0,0,0,0,0,0,0,
2021,4,30,12,2102,SURIGAE,6,44.6 ,179.8 ,998,0,0,0,0,0,0,0,0,
2021,4,30,18,2102,SURIGAE,6,44.6 ,184.1 ,998,0,0,0,0,0,0,0,0,
